,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
range_NeighDiff_shell1_Electronegativity,0.7826720537831556,0.009992129394195302,0.32062247662892623,0.016144540445099314,-0.2840217034039127,0.0339550282439638,0.06505353619264627,-0.17469541970540556,-0.01529328489584558,-0.02892180852749919,-0.04728837701983784,-0.08552902581955757,0.007062211379949241,0.010227974261996479,0.15047878963222
mean_NeighDiff_shell1_NsValence,-0.09476679525490654,-0.08530252361831854,0.03521704907930976,-0.04730245001799015,0.14554907415008325,0.10134602485462181,0.864044273762645,0.052847039180517724,-0.08800705081433749,-0.028545200009669872,-0.041150077475620384,0.11367847207556434,0.09046711867047147,-0.025919107937653865,0.039089145434616175
var_NeighDiff_shell1_NsValence,0.15400208002506166,-0.06217412012412047,0.09244031756656089,-0.009408011533328025,0.03409985927025096,-0.036866675205733015,0.8416091387400604,-0.019860006065085506,-0.03964400469842846,-0.026648212623587946,0.014259677075833574,0.006889883810127041,-0.09660875099528267,0.035494314530300136,0.04829708194010469
min_NeighDiff_shell1_NsValence,-0.3257670982190696,-0.036051401800652874,-0.07108893196655884,-0.01077030427741131,0.03527190497332776,0.07875649250185479,0.4967587707659337,0.1320096667791269,-0.11485040661287252,-0.003422292922422511,-0.05575794128496879,0.16202212436549873,0.2765609715550445,-0.08521065812105416,-0.0005574041408481294
max_NeighDiff_shell1_NsValence,0.1258111576165965,-0.06146192826963713,0.0923187327581452,-0.017335663881718706,0.010442875674788955,-0.038939340902732184,0.9150762955008634,-0.031607218781247524,-0.06795392947962055,-0.032257665386067266,0.004106602188602302,0.01378928268481774,-0.06535738582931729,0.04618109623924466,0.06335347599939184
range_NeighDiff_shell1_NsValence,0.2692039784687303,-0.05197492983992997,0.12910102953869088,-0.014414580557629593,-0.0030455302767539287,-0.07432713477000814,0.7901251409366938,-0.08807369416073046,-0.02690781879374287,-0.03359394621764256,0.027174264605470098,-0.05106349065428933,-0.1835821636346533,0.08481186000773869,0.06894381289852844
mean_NeighDiff_shell1_NpValence,0.5791848161000742,-0.0643326611381087,0.11904866790267844,0.04875104377965616,0.705941982934834,0.03974030152650547,0.08199219543891374,-0.02772321162324868,0.07272543116358271,-0.04750405161664942,0.044793029960343345,0.03931984819330858,-0.07360311432317128,-0.0936345065237227,0.0815873429419442
var_NeighDiff_shell1_NpValence,0.7659242532023575,-0.004847567650700108,0.2028605181358481,0.145709777506244,-0.19410536756713534,0.13102065159964754,-0.027111054276622696,0.09074664394457659,-0.0436206121636802,-0.041688683554587894,0.011379409151059965,0.09874403322955848,0.09639541083379534,-0.21172512302916904,0.053400135298230775
min_NeighDiff_shell1_NpValence,0.3041059018130624,-0.056169723743580875,0.008942791719414445,0.045277400141975975,0.8406692500934709,-0.03161767325441319,0.048098645168415645,-0.02225743358967703,0.09326363722041131,-0.020837820302696288,0.006075304992888191,0.017355131414728366,-0.056501400191391,-0.13355899041460212,0.08447821476544941
max_NeighDiff_shell1_NpValence,0.8504621748070044,-0.039296577827362775,0.1735180110283974,0.05106753255796843,0.27089906934883573,0.11138300411033006,0.023907805307090378,-0.027997217707845197,0.014628137135300636,-0.0712326887550019,0.06344138799319549,0.07354016497747784,-0.06858554327906981,-0.10538747541090333,0.06141283057936871
range_NeighDiff_shell1_NpValence,0.7709897922029902,-0.0004178113914939989,0.2016925767011026,0.023712063102882635,-0.37616086162440404,0.16069629388518475,-0.011386006243877448,-0.015144308808828253,-0.06032571837511282,-0.06844931122887993,0.07139727662295091,0.07414205266711,-0.03544704494129362,-0.01539746900828849,0.003414800409704666
mean_NeighDiff_shell1_NdValence,-0.2236595307524594,0.17112051808081014,-0.0718222595454186,-0.02771822545036384,0.1158616130438307,-0.11022530991310804,0.014132006918915974,0.22537417158588355,0.08506778251116477,0.014856018618974254,0.08917289487709618,0.7240288709140013,0.21648767960443044,0.0561527546595966,-0.08133180934747086
var_NeighDiff_shell1_NdValence,0.17065224553212596,0.20192028298736123,0.04664571013777451,-0.08340266043255495,-0.04546019275275223,-0.14589489627006907,0.07518225501127519,-0.010897987023096578,0.1548875281714837,-0.04308348618070734,0.055191246283990116,0.6889687487436312,-0.00604066234997743,-0.06655647945779374,-0.011307069017634803
min_NeighDiff_shell1_NdValence,-0.40084694633159257,0.07812135209567664,-0.1022499928618826,0.016023411700919914,0.09127619396207298,-0.02323369549202887,-0.026864848998549164,0.2896223468501582,-0.02012988229621993,0.0643254123366894,0.058012146708537306,0.440242680515273,0.2772894099372501,0.07276580383106655,-0.09580165236702694
max_NeighDiff_shell1_NdValence,0.09650523416541248,0.23606469932061624,0.0548267805905042,-0.09034387176225228,-0.03668805963057915,-0.13887167113575716,0.10303665133060785,-0.013679650602513506,0.13460270841242108,-0.03958811683977206,0.0880990687281454,0.7672982701458725,-0.01861459977819857,0.05605803015426626,-0.04503207118992951
range_NeighDiff_shell1_NdValence,0.31668269717399367,0.20243830442601815,0.1120911603636384,-0.10229562088997303,-0.08736025025443785,-0.13137223368422438,0.12131066948219967,-0.17072196022903474,0.1503862491595044,-0.0757987582396766,0.05995202841925993,0.5572924310795183,-0.16917058734476295,0.01876933204046764,0.005109390264074426
mean_NeighDiff_shell1_NfValence,-0.25451913392262154,0.7142316350412388,0.025644769747598047,-0.07175717601671396,0.050107666717204714,-0.03453598429760472,-0.07139835912537809,0.38978434161943687,-0.07676369226131904,0.021648100336347325,0.03000594450458013,-0.049857167876338385,0.22629095602543534,0.05708068108452705,-0.15156542160889958
var_NeighDiff_shell1_NfValence,-0.08107742113066146,0.826402898445355,0.011517381579622116,0.00972222170053108,-0.009306448075247935,-0.02661098988282109,-0.06358719429753351,0.24501254105957052,-0.057282529738994344,-0.030681996617687276,0.016033386559426155,-0.05608998509269325,-0.03890082485545263,-0.05278875702781706,-0.07140998056853143
min_NeighDiff_shell1_NfValence,-0.34392138440754655,0.373589719015771,0.04723969133113469,-0.09681826676255133,0.041963856415340596,-0.03186901510748188,-0.02917215464217885,0.3919024831440074,-0.06058179788920377,0.05317560447625068,0.011554397424553007,-0.048106530373790986,0.3465398291304625,0.12206790822257016,-0.164368512995903
max_NeighDiff_shell1_NfValence,-0.10183580756664307,0.8711341461242321,0.033435250843521586,-0.012584425283848177,-0.005513079964715856,-0.03345725557052951,-0.05219063915484631,0.2536052374629477,-0.057346264899292995,-0.014084641821171234,0.02296603408468233,-0.08193207089518818,-0.035259925843618756,-0.00677351476138725,-0.07578007194688093
range_NeighDiff_shell1_NfValence,0.013425335336662186,0.8363313834011655,0.019915132883173776,0.021774905911449875,-0.021709113241249613,-0.025632058163189635,-0.04759100041025538,0.13861565572743975,-0.04172736802663628,-0.035451673574997886,0.02141697838593435,-0.07385569331413612,-0.16778718440955995,-0.05278473714491784,-0.02391649038609764
mean_NeighDiff_shell1_NValance,-0.21192950184501835,0.5440345244086753,0.11312289090616734,-0.12573931368858202,0.20224000916683643,0.011765498646223019,0.01745994660858168,0.3275813042644992,-0.15515223456693175,-0.10321745677469565,0.03215921333230003,0.4060167699568419,0.1262941494884223,0.17209853532464026,-0.027723850188143554
var_NeighDiff_shell1_NValance,0.010693267883841262,0.6687309411181644,0.12709342198737533,-0.036383594690329334,-0.13211161173863786,-0.0011073158187931515,-0.030868197078195055,0.17141165795308777,-0.1504405943087719,-0.1202114184168839,-0.02892206461965076,0.33764429552053793,-0.07585702386660324,-0.010100060612827364,-0.04136943807953836
min_NeighDiff_shell1_NValance,-0.31617813789810556,0.3289386603150353,0.0721042585118156,-0.1280707247934723,0.25470736884490464,3.023223535396079e-05,-0.0008519322141691046,0.352908018320595,-0.1300041871388571,-0.06505493782314019,0.013524305964803703,0.32552509688418907,0.24748614229842453,0.16026323254977465,-0.0032896401687037887
max_NeighDiff_shell1_NValance,-0.01963632988417632,0.7381874555686347,0.1509067709842178,-0.08455686366787094,-0.025308324286834175,-0.007809299792743136,-0.0020978186698913854,0.16593686971677607,-0.15264220160494293,-0.1453210626344356,0.003126831286541732,0.3681099152201859,-0.09018774378952149,0.10374676756940801,-0.034100079587426516
range_NeighDiff_shell1_NValance,0.14889559905925884,0.6969357958653516,0.13982699155046224,-0.03060146830411926,-0.16875737792565432,-0.00928459327651977,-0.002025716961547998,0.0047306375758033176,-0.11035256937812668,-0.13703710853818152,-0.003654800038552876,0.2595844882592185,-0.2418237986879785,0.035843163373602556,-0.038678559730319126
mean_NeighDiff_shell1_NsUnfilled,-0.03572438300048691,-0.08051789106377681,0.08724315742198287,-0.05730063375196853,0.1773866068388486,0.1313098461504446,0.850650052969922,0.012058856652477436,-0.07490909644593886,-0.0654314724580587,-0.06069071674609231,0.0692444000517639,0.060414278273704936,-0.0013882593315589324,0.048722681980853465
var_NeighDiff_shell1_NsUnfilled,0.1991168858133775,-0.056830551944399524,0.12866389535048095,-0.01088859178718794,0.053610663328249306,-0.02274278508974737,0.8182856195342065,-0.05003085427651326,-0.02832430048096386,-0.05432734241804823,-0.0024139796899680017,-0.02551096975537292,-0.11709000346235482,0.059902656387092884,0.052475219831447165
min_NeighDiff_shell1_NsUnfilled,-0.3097298624262909,-0.02631502170348019,-0.032586847138498534,-0.019218648278361488,0.055598371704291896,0.11241716101025451,0.4745539572988067,0.1061707115507077,-0.11176247747261091,-0.03647866842578786,-0.07574581133964488,0.12937869249491768,0.2815480888133768,-0.07360023198920203,0.004962086266667696
max_NeighDiff_shell1_NsUnfilled,0.18339700338883125,-0.05471788180651122,0.13889651857784802,-0.01986618829216179,0.029118853229839082,-0.024224999257676606,0.8814372028769961,-0.06927814634389329,-0.05359280654331486,-0.06252707946217011,-0.011325994601234053,-0.030006610594395446,-0.09413464147754119,0.0740000643952746,0.06888236129280831
range_NeighDiff_shell1_NsUnfilled,0.3004509281044185,-0.04842976284380291,0.15743338357064135,-0.014228413395830301,0.011334225844654341,-0.06450752950829573,0.7625611688109106,-0.10973603033926817,-0.017585549554248806,-0.053117172658150275,0.01437780366947138,-0.07647760056513588,-0.19676272342291656,0.10339767888589003,0.07074312084818649
mean_NeighDiff_shell1_NpUnfilled,-0.10366110571828363,0.01463041372166034,0.041895579414854056,0.01782058811151804,0.41947289592554576,0.02823672174542452,-0.04005153089807607,-0.03331572953092943,0.006950265355497055,0.026990097556110062,0.8246334954284738,0.051856456373855414,0.06921272608789565,-0.028212871721066367,-0.025017360131217997
var_NeighDiff_shell1_NpUnfilled,-0.0005029188216088388,0.046935505191896446,0.14356851912481108,0.06436046398878931,-0.3385061878809495,0.11339350308442357,-0.04249505541977273,0.035725771078860526,-0.04711450617263293,0.02158433775623674,0.6734649597767457,0.10682762384466404,0.1361692964860123,-0.20754711138818163,-0.038714396818665904
