,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
max_EffectiveCoordination,-0.018580295692422817,0.022066458888551008,-0.04013259389018942,0.012928750395354216,-0.1026290988871975,-0.019852663222203693,0.01896197395563201,0.011371076596260299,0.13386110162132253,-0.05891617775843311,-0.007741719763038002,0.03461132223524377,0.13120157041148406,-0.10312805100762015,0.00034922499004716445
var_MeanBondLength,0.08308651994625538,-0.019460538364719723,-0.07908305624366543,-0.021698475728038916,-0.05889835505803612,0.02889344066072108,0.0078166942383453,0.07103230105960096,0.032511945447892265,-0.052827887647371494,-0.08036791211175057,0.015038332691064915,0.04235143699087089,0.036803556769940404,-0.04986052348158068
min_MeanBondLength,-0.09318494426803539,0.00811812729844905,0.0714583339391969,0.030250795746620547,0.06904570436929672,-0.0011891726290819415,-0.0117734162531771,-0.048410626994345896,-0.023360320042595917,0.034737127541487556,0.06393752120862525,0.0021898055527579396,-0.016230772150640824,-0.03738593610932045,0.038756871897155376
max_MeanBondLength,0.06734579563470565,-0.015580356112575341,-0.05339228226723486,-0.033164476374111705,-0.06398189105854041,0.04780177349816078,-0.0009314518048216709,0.05321631521548056,0.06918405766845696,-0.053926361289281244,-0.051654137097133374,-0.02333144024959158,0.03915300560343997,0.0939389147553164,-0.008925850881018618
mean_BondLengthVariation,0.033226023009284435,-0.037109789931264625,-0.04260812658532305,-0.05803922713579676,-0.01021389641803083,0.08602172482279921,-0.0037492579201140264,0.04252053020731203,-0.018428242469429604,0.002035787709156689,-0.08144185191160114,0.012704098091035537,-0.08965658054674291,0.20358721750815637,-0.1163689670109648
var_BondLengthVariation,0.08347511336087925,-0.015920827403089494,-0.05473530974972739,-0.017044447810202007,-0.019518250230288567,0.037179827535399855,0.0009370698747238039,0.06134187345169892,0.0191110892441653,-0.02998131475427787,-0.08267537487253251,0.0011662414082825867,0.020730043400450898,0.0372653112405458,-0.03438103094992102
min_BondLengthVariation,-0.024926160213188015,-0.02105275277032808,-0.0012520592709563394,-0.04720101233471566,0.016961253002811087,0.06137910495031388,-0.01111144261842642,0.009386038074248398,-0.04127570542186497,0.008966757734183595,-0.04896021097891845,0.02940277529094376,-0.10022649745793516,0.2036926071810465,-0.10214622290107261
max_BondLengthVariation,0.05540121406761699,-0.03729049222734111,-0.05202118880819642,-0.0589394075240848,-0.022895221817745927,0.08875118044277745,-0.001142983291223976,0.055260060876189024,-0.006730470088258666,-0.008218639320186277,-0.08968398458857212,-0.005489773446609114,-0.07961821578767148,0.18076394942409085,-0.0932203220842456
var_CellVolume,0.07414137573261162,-0.012929644349791417,-0.07593574049989121,-0.022938416540771223,-0.055421634083724046,0.03079286706946746,0.019775779686788456,0.07238287989791242,0.031739716162279594,-0.06034244879978631,-0.0852889502197343,0.0245595952305524,0.04073608001587459,0.043205355541726276,-0.02429539212779383
mean_WCMagnitude_Shell1,0.07457225987478741,0.020156636706613537,0.047316452354986716,-0.011578050312809002,0.05742512877608466,0.041427530198096266,0.019056451609028944,0.00986511677778296,0.005867373279292492,0.0011661220040245896,0.05741841715210312,-0.10279815872324646,-0.08461644927126244,0.10441013637563035,0.06086592349262271
mean_WCMagnitude_Shell2,0.06440780433760968,0.01567906008916022,0.061742502911502906,-0.005032177830996642,0.08574974893414877,0.03099589709579622,-0.0016682335247589978,-0.014434595016155237,-0.03420329819127474,0.01630889457491632,0.0479569713144134,-0.10242004643076816,-0.08762416442245635,0.12307311311469493,0.089265269605103
mean_WCMagnitude_Shell3,0.05068990723268914,0.00909360232174575,0.047490571747544334,-0.000719418883201586,0.07447698095118296,0.030620762150076607,-0.007049362726303925,-0.014936227078970413,-0.03977391833119905,0.014745064500025037,0.03965315757129782,-0.09224019248244927,-0.06840757909235581,0.11100595977838515,0.10695194165770533
MaxPackingEfficiency,-0.08842243287417297,0.03305819649981021,0.07158776007632556,0.04096600421983805,0.011445205840167982,-0.052734489381594654,0.002927398460910422,-0.0632463519617524,0.02423058649073448,-0.00040700196616996076,0.07392902922569794,-0.009991854297247997,0.04677701495025924,-0.1271418055801358,0.07784339631410656
mean_NeighDiff_shell1_Number,-0.022229619089131313,0.148298357599821,-0.02476454129122131,-0.02671166153130016,0.050108588904593264,0.05896983348516031,-0.04956463112280496,-0.05102362467175083,0.0007087747590237342,0.04635283250874387,0.00500617373324591,0.052543217459106485,0.054915613330189496,0.0006636531362765943,-0.06381440693435936
var_NeighDiff_shell1_Number,0.009263383962372602,0.13284581586780866,-0.08821321406136683,-0.020220638853246497,-0.027295801912887056,0.002400451114121634,0.02113322910579275,-0.07419039003826994,0.009850313092484434,0.04845427798669321,0.02638012838586613,0.02874170454866755,0.002335432474181618,-0.033849881513826424,0.04450418882803679
min_NeighDiff_shell1_Number,-0.03977033409373153,0.11130712246897896,0.0112227768778787,-0.016795434493402515,0.06404015641852792,0.06646095788009444,-0.0695711600157135,-0.029635894305386955,-0.011217803217497418,0.03435682355953489,-0.0147287706374773,0.06164290247042514,0.0753223136499415,-0.0040860924272247065,-0.11682790080083114
max_NeighDiff_shell1_Number,0.015378255315000713,0.14846076407597628,-0.07901884467964311,-0.034007712529113505,-0.02531284595334676,0.024475860636105472,0.004590736466700988,-0.07865567171523204,0.020190320304814453,0.051324892245909345,0.04571365578248068,0.0024701697223855567,-0.006620819673162111,0.02884655136451722,0.04023477378307517
range_NeighDiff_shell1_Number,0.03698185255702675,0.11187921530862024,-0.09442818172314034,-0.02993518037341941,-0.060168616635022806,-0.005369177208106588,0.03960009342806854,-0.0737951838272577,0.02826086753414901,0.040719263907188004,0.058705026492252316,-0.027734253908830112,-0.04473009180429877,0.03446648281440448,0.10308069088399544
mean_NeighDiff_shell1_MendeleevNumber,0.03744532694513609,0.07410249730475632,0.15912468744493688,0.019273497740468014,0.0384266646109372,-0.02141763367762035,-0.03846814538434985,0.006935260417450205,0.002740833638595768,-0.043666089028765405,0.0021102638372485273,-0.009496691262538267,-0.04170777894648013,-0.05038371561029714,0.006694378469601403
var_NeighDiff_shell1_MendeleevNumber,0.07201109962177485,0.05126094306660841,0.06417230921899761,0.0064166035734010375,-0.059397868067342305,-0.08358389398730041,0.02446001973053577,0.030294929969398345,0.045468186457522236,-0.06253605038180036,-0.0015456333187769456,-0.001056843843752809,-0.03651201004921743,-0.07062625637561162,-0.04199763406888207
min_NeighDiff_shell1_MendeleevNumber,-0.005429237977669544,0.06623658167060203,0.1459422113171494,0.03483986892927233,0.0648108932977029,0.021914516820513666,-0.06273539517346008,-0.004629647141522671,-0.033000423018941946,-0.019882935584947498,-0.02149861760799496,0.020071365605882074,-0.01665618856675884,-0.06596133441348016,0.0343071876680512
