Feature,trans_Pearson,trans_Spearman,trans_Kendall,trans_DistanceCorr,origin_Pearson,origin_Spearman,origin_Kendall,origin_DistanceCorr
min_BondLengthVariation,0.23210391912835582,0.2587107536345281,0.18243503390018895,0.27943232245427313,-0.1958058017494333,-0.2094654154952583,-0.13951741261886003,0.21410740671412573
max_BondLengthVariation,-0.26605650970941624,-0.2576656330739592,-0.1738868511726131,0.30530446688323404,-0.2998659624097605,-0.37926405218885534,-0.2636435651772971,0.3431979120993194
var_CellVolume,-0.28477569905053673,-0.36596357266261914,-0.2540744692675336,0.359906629432146,-0.0659825427245117,-0.17160972183997078,-0.11612794336721755,0.14616549872881926
mean_WCMagnitude_Shell1,-0.5902947166220509,-0.5826585509620611,-0.41298166055351787,0.570978854043732,0.17502051629030077,0.22936080147449128,0.155550985373715,0.21425306425266888
mean_WCMagnitude_Shell2,-0.6161191153376342,-0.5771846752427416,-0.41047326886740026,0.5823803651362527,0.14592181392366788,0.15281411784458684,0.10184025327342999,0.18474830123954075
mean_WCMagnitude_Shell3,-0.6399452487350716,-0.6032812025868003,-0.4309841058130488,0.6052909860000119,0.12269667095355263,0.11834010617415877,0.07894386226167557,0.1856606124050862
MaxPackingEfficiency,0.39913478537076563,0.4043145013682779,0.2772719795487385,0.4102499237382812,0.30447485974641453,0.40048763781778324,0.27730901580168205,0.3423244332775224
mean_NeighDiff_shell1_Number,0.24152802079768182,0.30665941807326863,0.21181015894186953,0.3194666454758807,0.31970091992775473,0.43816339331885185,0.30413006618247235,0.386838007744446
var_NeighDiff_shell1_Number,0.3419478969017117,0.33358745039860555,0.22804934978326108,0.3590175738186417,0.2483147124120676,0.3206654274391322,0.2176041536580236,0.2840538736736407
min_NeighDiff_shell1_Number,0.2152037131235826,0.3061474264608251,0.21255751917305768,0.321170744577943,0.27051623766107896,0.37989384883511373,0.26167530926592913,0.3281468559152807
max_NeighDiff_shell1_Number,0.25156080253530566,0.2588436647604072,0.17584039124152495,0.28819561853607867,0.29786309235838776,0.377604384473013,0.26047458400812473,0.339217909685249
range_NeighDiff_shell1_Number,0.22319022996543852,0.18982324686924962,0.12632788707346893,0.25304291858793326,0.20432204819870506,0.2735575623584124,0.18444289239129077,0.24425974848496068
mean_NeighDiff_shell1_MendeleevNumber,-0.508810409857345,-0.4006278676253186,-0.27840702456374344,0.44662131995291704,0.05476940474964736,0.008622520536470583,0.008654867602704648,0.10169000384692055
var_NeighDiff_shell1_MendeleevNumber,-0.23679530148980907,-0.2273381243709027,-0.15601022563076583,0.24541940642020066,-0.018655523031677015,-0.10416621109241461,-0.06772050221784592,0.1364474443503816
min_NeighDiff_shell1_MendeleevNumber,-0.4628680491230487,-0.30579092419899156,-0.2096658886295432,0.40267910972141147,0.1089788614823058,0.08878018233407547,0.06342374431633203,0.14530153645214952
max_NeighDiff_shell1_MendeleevNumber,-0.3714598504734382,-0.3429796341088482,-0.2366695565188396,0.34891797145689246,0.02667273223689777,-0.0943452736665408,-0.0559260512600214,0.11490758351994901
range_NeighDiff_shell1_MendeleevNumber,-0.23238482540485905,-0.26074039163782126,-0.1792268533955763,0.2611313139152112,-0.03986211543072793,-0.0842780312052704,-0.054089400241054304,0.13358453785541816
mean_NeighDiff_shell1_AtomicWeight,0.26985390814867355,0.3291402107933567,0.22748116038679558,0.3372709848696649,0.3294115226645731,0.44939534439599,0.31305613486270417,0.39639887716622874
var_NeighDiff_shell1_AtomicWeight,0.3473997866401087,0.34069472007719104,0.23331599422029564,0.3637253644847065,0.2555544813434322,0.33182615099927804,0.22567008025100146,0.2924318167403163
min_NeighDiff_shell1_AtomicWeight,0.2534442600614028,0.3356851146316793,0.23286384350339,0.3425688051251179,0.27780600543241124,0.39456207737435484,0.271973582325345,0.3348326910913522
max_NeighDiff_shell1_AtomicWeight,0.27349414533419414,0.2800144186682687,0.19067200177837054,0.3049898819065577,0.30544965940166524,0.3903918084836314,0.26933781592060124,0.3471045837947933
range_NeighDiff_shell1_AtomicWeight,0.23739239413845176,0.20670127630014182,0.13823985773035458,0.2633915340270924,0.2125502719195592,0.2868910729311521,0.19429023292144695,0.2534940331374137
mean_NeighDiff_shell1_MeltingT,0.1584588149695875,-0.005918196213132912,-0.00911237079026342,0.23841605106994979,0.10280243254341212,0.16501471898298498,0.10978449774070212,0.14414636590450733
var_NeighDiff_shell1_MeltingT,0.2304673677025377,0.04938065704229522,0.02580193397799266,0.28839147440277074,0.05220728505155455,0.05408772808600937,0.03697246779831059,0.08344859659588115
min_NeighDiff_shell1_MeltingT,0.19047078137119644,0.13571715774635082,0.09055729687673669,0.18327402073134977,0.11182873451078489,0.19118794785514795,0.12461872703486147,0.175250341548506
max_NeighDiff_shell1_MeltingT,0.0988920429115208,-0.05455947939549771,-0.04607802600866956,0.2510362683011262,0.0608142799913232,0.0688077628560778,0.04755431807304794,0.09601903419413513
range_NeighDiff_shell1_MeltingT,0.06190235501495414,-0.07454744606082733,-0.060248971879515396,0.2425917692875456,0.02367958097156657,0.007912586594492494,0.006506477694160444,0.08531577061489656
mean_NeighDiff_shell1_Column,-0.6441866761613764,-0.5775959895106655,-0.41149983327775924,0.5845210582839669,0.038917560291108114,-0.02656889274208615,-0.012195082286962049,0.12008568403304572
var_NeighDiff_shell1_Column,-0.20909544364534946,-0.23971301285700136,-0.16560275647438036,0.2475094971681436,-0.037871702856621205,-0.1448601535635367,-0.09308570802217608,0.12256486161401244
min_NeighDiff_shell1_Column,-0.5539299011754308,-0.43730834947870545,-0.30544403690118926,0.4849283225023026,0.07862839515369058,0.08094977699452865,0.062298169124534224,0.1257789783996224
max_NeighDiff_shell1_Column,-0.4386125851468293,-0.4282686586965176,-0.2978992997665889,0.4195312476865805,-0.009180379246886361,-0.15523541049159445,-0.09781922414457586,0.12301927209740962
range_NeighDiff_shell1_Column,-0.1886181742321444,-0.24613559845951088,-0.17086673335556296,0.2522057611273759,-0.07441381984025791,-0.14751578647644834,-0.0962932153366273,0.1356107557153325
mean_NeighDiff_shell1_Row,-0.199284137777423,-0.07212613112512568,-0.04854418139379793,0.19559070733777975,0.26294059277931214,0.34165092545420456,0.23339223969702513,0.31425590820932064
var_NeighDiff_shell1_Row,0.1553660580973948,0.13122439102493233,0.08523907969323108,0.22112438402790288,0.17393967263413407,0.20807979607380966,0.14036739663370085,0.21434786821579443
min_NeighDiff_shell1_Row,-0.17105533367612408,-0.021879660653295625,-0.012173391130376793,0.20720780892827842,0.2352901618821111,0.31050867132202853,0.21348784064405799,0.28359831986376716
max_NeighDiff_shell1_Row,-0.12556007866101615,-0.0965288613920957,-0.06829432032899856,0.16320342701141677,0.23561447242730965,0.2613395046446626,0.1798041325803775,0.27326317737216066
range_NeighDiff_shell1_Row,-0.04767212228640211,-0.09398258377584262,-0.06988507280204513,0.18043118436827635,0.08970417256326597,0.10912982001527857,0.07429817072788898,0.12766095371056815
mean_NeighDiff_shell1_CovalentRadius,-0.5763631591592118,-0.4842938858104317,-0.34108036012004,0.5081007377142097,0.11173967449311381,0.11694916932418546,0.08189954814042405,0.16891950130356045
var_NeighDiff_shell1_CovalentRadius,-0.18701486604753206,-0.18583617442624156,-0.12691030343447815,0.19757219259431227,0.019577532746479602,-0.013339519275799985,-0.006462916437240292,0.11942409158062814
min_NeighDiff_shell1_CovalentRadius,-0.5713871427310176,-0.4482133671348185,-0.31493608980771365,0.503394998876518,0.14737735979657687,0.16016113687362704,0.10946987905478595,0.194717469882295
max_NeighDiff_shell1_CovalentRadius,-0.46396370066948034,-0.42855751383972374,-0.29700122262976547,0.4185700809887141,0.08809981756982743,0.06488199029928204,0.046047517474464096,0.14562004954329294
range_NeighDiff_shell1_CovalentRadius,-0.3028012113489908,-0.3278855368761707,-0.22431165944203624,0.31187483817329137,-0.002019171154655947,-0.026073693772855136,-0.015611252445752398,0.12108780052469453
mean_NeighDiff_shell1_Electronegativity,-0.5467361820628625,-0.47059374651041624,-0.3296036456596644,0.4963674966121361,-0.0033863152913382235,-0.027456708860373196,-0.01942789487719214,0.10624757014484942
var_NeighDiff_shell1_Electronegativity,-0.16854790226313635,-0.1752148754683195,-0.11791130376792265,0.18534201719968038,-0.03422941957800603,-0.10649914513553861,-0.07143175249754394,0.12230493477463802
min_NeighDiff_shell1_Electronegativity,-0.5905591028313544,-0.4865113229457025,-0.34285961987329105,0.5305904710031771,0.034377675976783026,0.05432120562293339,0.03555224377804714,0.12445617938440683
max_NeighDiff_shell1_Electronegativity,-0.4150736608029303,-0.385254809917201,-0.26570190063354454,0.38980691002697015,-0.00308070483378085,-0.06995844252246883,-0.04437007042332966,0.11169469076588155
