,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
var_NeighDiff_shell1_AtomicWeight,0.005164843318015481,0.13535620871485937,-0.08680968085548618,-0.021581013336809608,-0.026317182184552115,0.0014094908229568487,0.02054796347652751,-0.0710414638273034,0.007993375143551532,0.045919957099593026,0.02533436302566744,0.023840056033198772,-0.0011226679462156227,-0.02878141804431263,0.05116788206897699
min_NeighDiff_shell1_AtomicWeight,-0.04579837522660511,0.10996121560812785,0.00913648889845059,-0.01866810774331236,0.05916182943803559,0.06402441980351428,-0.06607218706076634,-0.021153163584980067,-0.012873946892825732,0.028842789974124892,-0.019904478431225614,0.056749552017760385,0.07262814972315028,-0.004864993757932184,-0.11653488063050317
max_NeighDiff_shell1_AtomicWeight,0.009553400415853923,0.15016743462616144,-0.07905692465198606,-0.03481768723308689,-0.026112034120935122,0.02168827548644375,0.0057257052574131795,-0.07315362322455417,0.018370690371159702,0.04748859097341671,0.041768314820509495,-8.150980760837491e-06,-0.008482910562111068,0.03002361947695332,0.046260947394156426
range_NeighDiff_shell1_AtomicWeight,0.03293239578946645,0.11563510399168118,-0.09334790916755555,-0.030118569494913497,-0.05803113133552454,-0.00662190099808953,0.03844867291008335,-0.07203423890377045,0.026899762616555304,0.03944146719338731,0.056622899305917344,-0.027501346828679656,-0.04472594594630296,0.036126843413143074,0.10848848598429797
mean_NeighDiff_shell1_MeltingT,0.035934683706059706,0.03434373288906626,0.004977425602824408,0.057905754844728756,0.0791417239332439,0.12403702024090385,0.06402778816402539,-0.04655202827294702,-0.07559527475311234,-0.08465274272021532,-0.014927349813016506,-0.003406644556618737,0.06602628260028624,-0.011307409814811235,0.05395698702512151
var_NeighDiff_shell1_MeltingT,0.05906982395673509,0.009897859362371733,-0.041901864880033286,0.020914890912267295,-0.020765221067091482,0.0802299861991108,0.11567869392120328,-0.033277508766910324,-0.06137165532977291,-0.08419894697739065,-0.04136126549214192,-0.0018859827496438097,0.029351901487046334,-0.06685369563494342,0.06969825390593405
min_NeighDiff_shell1_MeltingT,-0.0003087590438146608,0.043514142503162594,0.02160735046431758,0.06673604889099007,0.10443858330088329,0.09369351143498088,-0.0034492602026315405,-0.0445943539738681,-0.06829391881966497,-0.04997630897595456,-0.009734986692649102,0.028654860361458444,0.0825134154207839,-0.015729762954047464,0.0022281389114437024
max_NeighDiff_shell1_MeltingT,0.07101647295053298,0.021407642231275174,-0.03247887163942341,0.0237080535404752,-0.010739931865146633,0.09190435241521314,0.10776459976883218,-0.04922858155113894,-0.06506664355066336,-0.08959869650361653,-0.014715024912741376,-0.03362092488112789,0.016046355080396063,-0.017329405725772042,0.07789286253995409
range_NeighDiff_shell1_MeltingT,0.07491017179326251,0.006798714151691428,-0.04202882243049213,0.0008169768987194468,-0.04911111977417405,0.06288838105492699,0.1147519385837825,-0.03571028640819048,-0.043814263420229545,-0.07628241397782584,-0.01197530360675858,-0.04578238569742311,-0.012963011083372798,-0.012559235280153997,0.0812345862547002
mean_NeighDiff_shell1_Column,0.05457519240002944,0.05585884835336713,0.1453559903134176,0.011037912364047515,0.06194130088032913,0.03894266821342061,-0.03957706739920313,0.010745055492423793,-0.016553220875779814,-0.042205728324322705,0.016761675983813003,-0.049222584381638276,-0.06682480301955587,-0.08497135039448213,0.048704577091612286
var_NeighDiff_shell1_Column,0.08121602116888345,0.03255578658124733,0.007472045096240589,-0.00314946562771277,-0.06430532187013424,-0.046489064733772005,0.04296509340645066,0.059498760360992796,0.043681059155657655,-0.07806393974863185,-8.25843160108162e-05,0.009666032714892463,-0.03720358334553663,-0.14547186788751632,-0.05716181277043917
min_NeighDiff_shell1_Column,0.005810616829154182,0.05761912489816083,0.1394486901542588,0.033930125324236504,0.08818727559461463,0.05182427623993506,-0.05599997400782296,-0.015545768723896828,-0.048550090272923986,-0.017629221491702676,-0.008191631837031033,-0.0046201887364415205,-0.017649168286735708,-0.07958084389081027,0.07185516947838669
