,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
mean_AtomicWeight,-0.47757234875391874,0.3297580628163518,-0.05132519512603743,0.01933194345130425,-0.02345388617282136,-0.1365838783366176,-0.06437624916308848,0.6998254336145417,-0.08888224674834418,0.208412929570563,-0.04869120909797599,0.12567721488088326,0.11141400684407926,0.008692374480420602,0.0858391377540176
maxdiff_AtomicWeight,0.03977827224745851,0.9064819074059914,-0.023416163800577157,0.06872401723643157,-0.004537430463159056,0.021892128297595865,-0.02709211628101074,-0.1364302011470403,-0.053498796471040076,0.16922248593229433,0.04938723317494419,0.08430073511358183,0.015923196378089487,0.026601901697826266,0.17137576281929143
dev_AtomicWeight,-0.11395749275578552,0.7853402646930442,-0.10202850136693357,0.06294896001265603,0.12924348548590078,-0.023151952762721178,-0.11561028895658648,0.0009757610096914336,-0.0851976966482372,0.15982893025933465,0.020815444587008753,0.13581818650969626,0.36142870146017103,-0.015982017058959973,0.14056815648859503
max_AtomicWeight,-0.17582628237346143,0.8321998228575376,-0.057123368816846015,0.06275656944808118,-0.056670953757877236,-0.07876001869546984,-0.056545829625617855,0.2534157941166402,-0.08720477028396491,0.24207323926652782,-0.004753378942155501,0.08992346638348722,-0.033587441988272855,-0.000879654389791528,0.18235532850362854
min_AtomicWeight,-0.4142162819768908,-0.04137451302783546,-0.06812152242739254,-0.003788983835586459,-0.1017649244580063,-0.19299433221998036,-0.06027794409930156,0.74164468725808,-0.07153367604079452,0.16069306983328252,-0.09954219817563337,0.020488654338104297,-0.09434855590473588,-0.05035319781119537,0.040775800846064594
most_AtomicWeight,-0.5082106435616636,0.09406585290041775,0.027749349538867735,-0.011514634976306696,-0.07103496595654948,-0.07833516412178684,-0.012559721402756652,0.719376509154664,-0.0648500586447522,0.1407920950155012,-0.03449293292043544,0.08923224451388226,0.07943037503708628,0.07548805532576473,-1.3081151723716247e-05
mean_MeltingT,-0.6674437741122583,0.10406823153530717,-0.11389873160759682,0.32487888246417684,-0.11673460806064744,-0.04846623519260846,0.009302611914110442,0.214443659803732,0.14253415548955334,-0.00902665944435329,0.16190958472866923,-0.1895615079624629,0.17124032044041015,0.04371877028185102,-0.08254269687301119
maxdiff_MeltingT,0.3843387939657746,0.21242297939968513,0.020975683679322156,0.4747550676408934,0.05405101583509979,0.201188335864923,0.16373342545695027,-0.07905192964821743,0.07351417448797803,-0.18142625036665502,0.15199601392783865,-0.3333049398100174,-0.11180360780219088,0.04767896578663824,-0.1069458928581466
dev_MeltingT,0.24543556616716355,0.1548019070750571,-0.1190682973801564,0.5076363373064996,0.18615209726013615,0.15845779027558027,0.04803501973037151,0.02021266296976741,0.1035160306474847,-0.16374529113203198,0.18112161531772816,-0.28244557004800525,0.080044031255763,-0.006845172013924015,-0.12871745130313575
max_MeltingT,0.01656090386225572,0.24388276153532032,-0.017966399205412275,0.554815381872847,-0.0668311137846802,0.13890076155658831,0.16725942400869384,0.022148018034289237,0.12020858094847357,-0.15655467326601177,0.17516180061016562,-0.40168592682703813,-0.06637693014740166,0.06565109176800384,-0.1302158953087745
