0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,e_total,e_ionic,e_electronic,formula_pretty,Material ID
0.76864153,0.06419852,-1.5389342,0.5840159,0.59256893,1.0297881,-0.2351517,1.1187096,-0.77864736,1.7790437,-1.2166568,-0.6738644,0.646721,-1.6005756,-0.5398573,1.896648767,0.379912777,1.51673599,Cl2,mp-570778
0.5567153,0.16961518,-1.6988958,0.71906865,0.869705,0.82361495,-0.07467278,0.7847896,-0.7267136,1.7890048,-0.60785145,-1.0666504,0.9412577,-1.2993113,-1.1796764,1.927902043,0.295954993,1.63194705,CF4,mp-1167
0.48303536,0.19209588,-1.8521409,0.48207945,0.7213774,0.65590596,0.042633962,1.0305874,-0.69753295,1.8707603,-0.9753783,-0.8703517,0.9953947,-0.7180429,-1.3604242,2.07646826,0.193456073,1.883012187,CO2,mp-556034
0.7225363,-0.0451975,-2.014202,0.31091237,0.73395765,0.53842545,0.15311056,1.1330926,-0.7127123,1.8431008,-0.856442,-0.88820803,0.9775611,-1.0022389,-0.89369607,2.077496053,0.212375633,1.86512042,CO2,mp-20066
0.65475285,-0.17349279,-1.4433471,0.45276326,0.65520245,0.72193843,-0.4804139,1.2362734,-0.69511324,1.7923627,-0.96079105,-0.7743865,1.3045135,-1.1563835,-1.1338792,2.112508733,0.221783783,1.89072495,CO2,mp-11725
0.524631,-0.45850158,-1.9045608,0.14858764,0.8629435,0.2939688,-0.2621547,1.1607158,-0.503264,2.1266065,-0.5881252,-0.79799175,1.1444355,-0.76576346,-0.9815275,2.129172643,1.129172643,1,Si3Ag3(SnP3)2,mp-18310
0.82900137,-0.25758103,-1.8797367,0.43784425,0.49021104,0.45033082,-0.0683445,1.2021905,-0.542907,1.9466431,-0.7026817,-0.6952141,0.9426439,-1.5015879,-0.65081215,2.145893997,0.444654513,1.701239483,PF5,mp-8511
0.65145755,0.28766972,-2.137095,0.6705024,0.67179644,0.60859555,-0.08098292,1.0380595,-0.4204253,1.721389,-0.92283934,-0.77636117,0.7417267,-1.4250531,-0.62844,2.14752879,0.433110917,1.714417873,SF6,mp-8560
0.41524848,0.09122472,-2.1335518,0.7901833,0.78867227,0.50106794,0.32600704,1.0882746,-0.5123446,1.6398878,-0.9432139,-0.84706396,0.8517721,-1.2289578,-0.8272064,2.16252577,0.197198583,1.965327187,CO2,mp-644607
0.71968323,0.31681126,-2.014203,0.5755397,0.3369796,0.5071773,0.031816676,1.1520039,-0.97914183,1.9831694,-0.67093885,-0.717481,0.625979,-1.3225152,-0.5448803,2.16889963,0.538604293,1.630295337,SiF4,mp-1818
0.85972375,0.086057104,-1.5033888,0.76652163,0.20665668,0.68262756,-0.29417577,1.3008668,-0.7352415,1.8607136,-0.893494,-0.584721,0.6904629,-1.7288387,-0.7137703,2.18867938,0.563808523,1.624870857,BF3,mp-558149
0.680026,-0.025801202,-1.8636159,1.0641863,0.56564105,0.93158305,-0.14043953,1.0760889,-0.4217883,1.5294861,-0.73961,-0.69472486,0.51379526,-1.8258334,-0.648993,2.195219853,0.16372906,2.031490793,BCl3,mp-23184
0.11502916,-0.99674016,-0.72521317,1.5080081,0.4379651,0.26637876,-0.10361469,1.2899933,-0.24354593,2.0097945,-0.8704833,-1.0824344,0.5988149,-1.5711762,-0.6327755,2.213265673,0.33209927,1.881166403,CClF3,mp-28473
0.1280823,-0.19634007,-0.915893,0.66533,0.22716615,1.0061823,-0.90134776,1.1741791,-0.5992388,2.1750946,-0.669619,-0.8253228,0.9585393,-1.742087,-0.48472536,2.287834197,0.32852852,1.959305677,NO2,mp-557865
0.1839625,-0.39276326,-0.88468605,1.060281,0.22268613,0.4895673,-0.3411656,1.542008,-0.24391878,1.8293588,-0.6945499,-0.81405187,0.8507174,-2.076687,-0.7307586,2.287892913,0.85009695,1.437795963,BeF2,mp-559400
0.80208063,-0.25836897,-2.091722,0.49977928,0.9700785,0.47133738,-0.55055106,1.47528,-0.3527512,1.4117553,-1.0044672,-0.857433,0.99697155,-0.86395806,-0.64803123,2.325346723,0.525786173,1.79956055,S(OF)2,mp-8537
1.4616183,0.117905185,-1.9480278,0.062267292,0.4911357,0.4631825,-0.21171927,1.1914719,-0.4452238,1.6035968,-0.944215,-0.38615543,0.8053613,-1.3706868,-0.89051086,2.353924337,0.537385497,1.81653884,AsF5,mp-8723
0.60637426,-0.24416986,-2.068863,1.0369585,1.1104158,0.6137451,-0.20219082,0.78234774,-0.40910676,1.643214,-1.1952268,-1.1636115,0.72558385,-0.7035069,-0.531964,2.364603643,0.18930882,2.175294823,CSO,mp-28240
1.5447627,0.02059236,-1.9416397,0.50988704,-0.08797228,0.6635303,-0.44989023,1.2122235,-0.26773188,1.3300962,-0.47738907,-0.002871517,0.40568978,-2.0061576,-0.45312974,2.371682143,0.150870303,2.22081184,BBr3,mp-23225
0.6146174,-0.0478387,-1.9333445,0.6156508,0.54931915,0.7043635,-0.44997597,1.2660055,-0.4450839,1.8347611,-0.6066454,-0.8316026,0.84032464,-1.469097,-0.6414542,2.374832827,0.615616167,1.75921666,SF6,mp-975
0.50371855,-0.17867194,-1.230766,0.27532336,0.09527807,0.5838708,-0.5357702,1.693142,-0.6369427,2.158757,-0.40536478,-0.7596454,0.8098553,-1.5997083,-0.77307534,2.40144906,0.29163419,2.10981487,SiCl4,mp-28391
0.26937416,0.26745602,-0.8443551,0.14756553,-0.24137406,1.7010146,-0.48785302,0.39170986,-0.32888162,1.9911312,-0.16224769,-0.6531484,0.8722904,-2.2424715,-0.68021035,2.413913567,0.200604917,2.21330865,SiH8,mp-972825
0.9950892,0.13905513,-2.206694,0.6315068,0.41445717,0.9453983,0.083532035,1.0050434,-0.6191287,1.2809958,-0.8953486,-1.1011816,1.0513083,-0.7931599,-0.9308732,2.428072657,0.41171022,2.016362437,C(ClF)2,mp-22966
1.4206411,0.37078643,-2.1532338,0.038929164,0.007955826,0.6097295,-0.24060866,1.205318,-0.33403376,1.5837225,-1.0365504,-0.66304195,0.87179255,-0.93111485,-0.7502914,2.43962579,0.584732343,1.854893447,TeF6,mp-1396578
0.8618705,-0.31527102,-1.8924226,0.6793706,0.9146412,0.40725508,-0.19940257,1.2445239,-0.4311394,1.6120745,-0.9258576,-1.0051185,0.9919922,-0.9932248,-0.9492918,2.461572583,0.584847573,1.87672501,C2O3F2,mp-31306
0.8566107,-0.005372457,-2.0851035,0.3063919,0.24482362,0.58239686,0.055261873,0.9127424,0.007927528,1.7219926,-1.0617819,-0.033477392,0.97798485,-1.7212431,-0.7591544,2.465750987,0.60122626,1.864524727,TeF6,mp-1875
-0.22710375,-0.38456964,-0.9150138,1.1306896,0.22033359,1.0190957,0.08103214,0.6755137,-0.3850958,2.050816,-0.030305067,-0.7004204,0.51681644,-2.3521097,-0.69967973,2.47443799,0.259201757,2.215236233,SiH4,mp-23739
1.0438786,0.49410704,-2.6561422,0.016024297,0.20815842,0.5290552,0.12687588,0.7286952,0.015831541,1.5309457,-0.8298276,-0.10130867,0.7451158,-1.3885349,-0.4628741,2.502760137,0.52536326,1.977396877,IF7,mp-27988
0.1936884,0.00549105,-1.7283247,1.0107452,0.44878364,1.213328,0.33400363,0.5597832,-0.5698888,1.8578681,-0.74964094,-0.61438704,0.6213364,-1.7484629,-0.8343235,2.50312693,0.357175773,2.145951157,H4C2O,mp-995219
0.67808557,0.20208903,-1.5304508,1.1094295,-0.001978878,0.6485022,0.111466825,1.0383832,-0.38148904,1.8276465,-1.1430601,-0.40987352,0.250055,-2.069706,-0.3290994,2.516907557,0.245253517,2.27165404,TiCl4,mp-30092
0.7270933,-0.46207047,-1.8350439,0.44248918,0.24554728,0.55899805,-0.38242632,1.2088305,-0.18119746,2.2507255,-0.883252,-0.3842746,0.7472664,-1.1328456,-0.91983986,2.551469053,0.323592843,2.22787621,NO2,mp-1771
