0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,e_total,e_ionic,e_electronic,formula_pretty,Material ID
1.6875818,-0.09060321,0.14252876,0.7124498,-0.24960458,-0.6289488,1.5848799,-0.6550853,-0.83121973,-1.0799385,0.37972975,0.06275718,-0.09280335,-2.167861,1.226138,2.697215493,0.6728219,2.024393593,K3MoF6,mp-553896
2.351494,-0.90278804,-0.37925243,0.65466094,-0.6081702,-0.99559236,0.57061297,-0.22839612,-0.69478655,-1.3564553,1.022078,0.7935183,0.65988255,-1.3147261,0.4279204,2.725239927,0.938544317,1.78669561,GeF4,mp-9816
1.1021729,-1.448336,-1.1232605,0.8464548,-0.38757038,-0.75981,1.0781064,-0.45556903,-0.24187511,-1.7836235,1.2740232,0.9151973,0.9579122,-0.6916615,0.7178391,2.73396185,0.58604512,2.14791673,LiB(CN)4,mp-13590
1.5072509,-1.1831778,-0.56543005,0.2861771,0.5574852,-0.17429431,1.3807647,-0.66590005,-0.62798524,-1.5936079,0.6655332,0.94798267,0.6087075,-1.7832725,0.6397667,2.742736813,0.72285942,2.019877393,HCl,mp-632326
2.1748514,-0.7238353,-1.6108615,-0.1318658,0.19734251,-0.46330974,-0.3002759,-0.07482426,-0.119661555,-1.8350906,1.222929,0.9537578,0.28771415,-0.4306673,0.8537968,2.75039266,0.755311797,1.995080863,S2O5F2,mp-28676
1.9270968,-1.3280555,-0.5076097,0.5141704,-0.43599093,-0.7158355,1.3555189,-0.13586722,-0.2963323,-1.9905068,0.89285827,0.6504693,0.36602902,-0.85295254,0.5570074,2.762506407,0.79654716,1.965959247,BeCl2,mp-569030
2.0425887,-1.2758764,-1.269731,0.7182403,-0.049473867,-0.69802165,0.1521826,-0.29940137,0.22929204,-1.7556951,1.0267804,0.756126,0.8240147,-0.889277,0.48825195,2.772212333,0.45742515,2.314787183,PCl3,mp-23230
1.8548585,-1.7815188,0.10300385,0.44903243,-0.33581,-0.55288786,0.63101655,-0.3582006,-0.12385471,-1.7065331,1.0884148,0.7936643,0.6703863,-1.3063213,0.5747493,2.772323933,0.60338849,2.168935443,H2CO,mp-23683
1.7493066,-1.3568029,-0.6112811,0.6971408,-0.6851395,-0.59634393,0.6709255,-0.535391,-0.09183095,-1.543903,1.6304066,0.44132778,1.1749078,-1.0225685,0.07924555,2.772858653,0.153550413,2.61930824,RuO4,mp-554791
1.2105526,-1.1851485,-1.7615503,0.49176717,0.28728288,0.24492058,-0.33545348,0.40150255,0.29916406,-1.4616723,1.6148099,0.67082554,-0.20016466,-1.3645335,1.0876976,2.77996455,0.244749107,2.535215443,CNCl,mp-571324
1.8139412,-0.8309821,-1.1810507,1.4639355,-0.25218508,-1.106424,0.9152769,-0.04324418,-0.7043768,-1.2217069,0.7313312,0.8247652,-0.51174134,-0.9189879,1.0214489,2.780654887,0.119182077,2.66147281,P,mp-1014013
0.8179659,-0.09983425,-0.84993845,1.1278921,-0.73740304,-0.99539006,0.99615216,-0.05693995,-0.92619765,-1.6429824,1.1038285,1.0353583,1.2820166,-1.4623989,0.40787077,2.78068688,0.21221508,2.5684718,TiBr4,mp-569814
1.9455487,-0.23680824,-2.0000913,0.7712718,0.3086169,-0.5487079,0.026769973,0.07774681,-0.33338943,-1.0503471,0.63251585,0.89721656,-0.39010033,-1.3887113,1.2884692,2.7841031,0.68207452,2.10202858,SO3,mp-2414
1.9905355,-1.0753478,-1.6326231,0.7769508,0.2949201,-0.79163134,-0.0347789,0.1661067,0.34938598,-1.7001246,0.7110739,1.4337837,-0.06825951,-0.5285706,0.10857915,2.790844837,0.729535063,2.061309773,SClO2F,mp-554012
1.3690219,-2.046605,-0.41655338,0.88944453,-0.46738693,-0.30155674,0.5099459,-0.39547092,0.018531121,-1.5800474,1.3306516,1.0216782,0.54379237,-1.111367,0.6359216,2.807683157,0.707499027,2.10018413,B(HO)3,mp-759069
