FA1,FA2,FA3,FA4,FA5,FA6,FA7,FA8,FA9,FA10,FA11,FA12,FA13,FA14,FA15,e_total,e_ionic,e_electronic,formula_pretty,Material ID
0.667740204,-1.552875618,-2.773487103,-1.443493975,0.067238689,1.519577028,-1.25960697,0.175476185,-0.640916745,0.14239522,-0.383239338,-0.793778195,0.588548836,1.988141357,-0.043257611,2.894521113,0.628840843,2.26568027,PNClF,mp-554472
-0.40126322,-1.341489194,-0.36627926,0.044484491,0.269815024,2.392657329,-1.212012262,0.030077929,-0.634336316,-0.728286101,1.364728255,-1.894604943,-0.002123426,0.723838102,-1.18430482,2.898171523,0.48932805,2.408843473,Be(CN)2,mp-35687
-0.371614605,-1.136937756,-0.416247455,0.113867047,0.255600363,2.406928997,-1.24721271,-0.091486748,-0.591967065,-0.715986606,1.266446304,-1.961096467,0.203128002,0.746444696,-0.492253492,2.902635037,1.03582794,1.866807097,Mg(CN)2,mp-36940
1.015836671,1.530225938,-1.177601634,-0.791826011,-1.212226985,-0.181241315,0.457702133,-0.372037825,-0.467727699,-0.390307319,-0.246791442,0.175614761,-0.988916566,-0.255313946,-1.155235057,2.90711962,0.748319523,2.158800097,P4PtF12,mp-555863
1.199374939,-1.418920655,-2.267853212,-0.765306462,-1.057454006,-0.463265596,-1.032939045,0.223265641,-0.840534519,-0.374501262,0.130010321,-1.626691802,1.144058034,0.46347171,-0.383951756,2.92969568,1.099619637,1.830076043,SiO2,mp-639682
0.474262221,0.17293076,-2.327451852,-0.007295538,-0.957017638,0.431119101,-1.11838759,0.589133759,-0.903258528,-0.553506526,0.750562916,1.942356524,-0.257407115,-0.77143081,1.060737209,2.938146517,0.16698732,2.771159197,BI3,mp-23189
1.024054781,-1.446312152,-2.052436486,-0.768511944,-0.629794472,0.258649003,-1.047456785,0.441187761,-0.670880156,-0.294512404,0.569574029,-1.240385721,0.864688212,1.134398567,-0.226138492,2.943811913,0.802634217,2.141177697,Si2Cl2O3,mp-28959
-0.440802857,-1.726846623,-3.832306058,-1.719119833,-0.853404262,-0.535494868,-1.53323212,-0.578522927,-1.656649393,-0.142877372,-2.2533014,-0.906870808,-0.851081241,-0.257802444,-0.579952788,2.953743947,0.12163372,2.832110227,S,mp-77
0.358214543,-1.207168393,0.383234993,-1.496472598,-0.593853628,3.821574871,0.961471123,-0.487627625,-0.865266615,0.002966342,-1.282024948,-0.179436049,1.125350781,-1.406364284,-2.13296308,2.972292323,1.149621423,1.8226709,H2O,mp-697111
-0.568262598,-1.296093382,-0.607766117,-1.467374307,-0.919262339,2.319800291,1.057974253,-1.53079771,-1.258198375,-0.071471833,-0.579912331,-0.604209873,0.490151967,-1.487529331,-1.514472659,2.986086457,0.801090997,2.18499546,H3N,mp-29145
